I lost.|I lose.
The house has icicles on it.|The house have icicles on it.
The house is well insulated.|The house be well insulated.
The house was painted white.|The house be painted white.
The ice in the water melted.|The ice in the water melt.
The idea is very attractive.|The idea be very attractive.
The island is warm all year.|The beland be warm all year.
The job is practically done.|The job be practically done.
The kids are finally asleep.|The kids be finally asleep.
The lake water is very cold.|The lake water be very cold.
The light suddenly went out.|The light suddenly go out.
The machine is out of order.|The machine be out of order.
The mail can't be delivered.|The mail can't be deliver.
The man connected two wires.|The man connect two wires.
The man was bitten by a dog.|The man be bitten by a dog.
The match didn't take place.|The match don't take place.
The medicine made me sleepy.|The medicine make me sleepy.
The medicine saved her life.|The medicine save her life.
The medicine worked marvels.|The medicine work marvels.
The meeting was almost over.|The meeting be almost over.
The museum is worth a visit.|The museum be worth a vbeit.
The negotiations have ended.|The negotiations have end.
The noise gets on my nerves.|The noise get on my nerves.
The pain started last night.|The pain start last night.
The party ended at midnight.|The party end at midnight.
The picture is hung crooked.|The picture be hung crooked.
The police are following us.|The police be following us.
The poor are getting poorer.|The poor be getting poorer.
The price is not reasonable.|The price be not reasonable.
The prisoners were set free.|The prisoners be set free.
The problem resolved itself.|The problem resolve itself.
The proof is in the pudding.|The proof be in the pudding.
The results are significant.|The results be significant.
The rich are getting richer.|The rich be getting richer.
The road came to a dead end.|The road come to a dead end.
The roast lamb is very good.|The roast lamb be very good.
The roof of my house is red.|The roof of my house be red.
The room is extremely small.|The room be extremely small.
The room smelled of tobacco.|The room smell of tobacco.
The rumor proved to be true.|The rumor prove to be true.
The sisters are quite alike.|The sisters be quite alike.
The sky is getting brighter.|The sky be getting brighter.
The sky was completely dark.|The sky be completely dark.
The store is closed Mondays.|The store be closed Mondays.
The store is not open today.|The store be not open today.
The storm stopped the train.|The storm stop the train.
The stripes were horizontal.|The stripes be horizontal.
The student raised his hand.|The student raise his hand.
The summer vacation is over.|The summer vacation be over.
The sun is shining brightly.|The sun be shining brightly.
The suspect is a black male.|The suspect be a black male.
The television doesn't work.|The television don't work.
The thermostat is defective.|The thermostat be defective.
The towel was quite useless.|The towel be quite useless.
The train is always on time.|The train be always on time.
The train made a brief stop.|The train make a brief stop.
The trip was very expensive.|The trip be very expensive.
The troops were annihilated.|The troops be annihilated.
The weather is nice tonight.|The weather be nice tonight.
The weather's bad, isn't it?|The weather's bad, ben't it?
The whole house was shaking.|The whole house be shaking.
The whole world is watching.|The whole world be watching.
The work was very difficult.|The work be very difficult.
The world is full of idiots.|The world be full of idiots.
The wound is not yet healed.|The wound be not yet healed.
Their concert was a big hit.|Their concert be a big hit.
Their names have escaped me.|Their names have escape me.
Their work seems good to me.|Their work seem good to me.
There are five pencils here.|There be five pencils here.
There are holes in the roof.|There be holes in the roof.
There is a hole in his sock.|There be a hole in hbe sock.
There is a map on the table.|There be a map on the table.
There is no air on the moon.|There be no air on the moon.
There is no hope of success.|There be no hope of success.
There isn't much wind today.|There ben't much wind today.
There were flies everywhere.|There be flies everywhere.
There's a yellow rose there.|There's a yellow rise there.
There's been a complication.|There's be a complication.
There's no one sitting here.|There's no one sit here.
There's no point in waiting.|There's no point in wait.
There's no turning back now.|There's no turn back now.
They addressed me as doctor.|They address me as doctor.
They agreed to meet me here.|They agree to meet me here.
They all burst out laughing.|They all burst out laugh.
They are about the same age.|They be about the same age.
They are both good teachers.|They be both good teachers.
They are reading their book.|They be reading their book.
They aren't afraid of death.|They ben't afraid of death.
They begged us to help them.|They beg us to help them.
They concluded he was lying.|They conclude he was lying.
They crushed all resistance.|They crush all resistance.
They defended their country.|They defend their country.
They died one after another.|They die one after another.
They explored the Antarctic.|They explore the Antarctic.
They fled in all directions.|They flee in all directions.
They found the stolen money.|They found the steal money.
They got to be good friends.|They get to be good friends.
They had lost the Civil War.|They have lost the Civil War.
They invited them to dinner.|They invite them to dinner.
They live in a rented house.|They live in a rent house.
They made fun of my clothes.|They make fun of my clothes.
They made us work all night.|They make us work all night.
They painted their toenails.|They paint their toenails.
They replaced coal with oil.|They replace coal with oil.
They settled in the country.|They settle in the country.
They teased the new student.|They tease the new student.
They took food and clothing.|They take food and clothing.
They treated us like family.|They treat us like family.
They went on board the ship.|They go on board the ship.
They were caught red-handed.|They be caught red-handed.
They were so happy together.|They be so happy together.
They won't have arrived yet.|They won't have arrive yet.
They're acting on their own.|They're act on their own.
They're enjoying themselves.|They're enjoy themselves.
They're washing their hands.|They're wash their hands.
Things are not looking good.|Things be not looking good.
Things didn't go as planned.|Things don't go as planned.
This article is of no value.|The article be of no value.
This bed is too soft for me.|The bed be too soft for me.
This blue backpack is heavy.|The blue backpack be heavy.
This book has many pictures.|This book have many pictures.
This book is full of errors.|The book be full of errors.
This cake is very delicious.|The cake be very delicious.
This car needs to be washed.|This car needs to be wash.
This child has been adopted.|This child have been adopted.
This doesn't prove anything.|This don't prove anything.
This has all been a mistake.|This have all been a mistake.
This house has eleven rooms.|This house have eleven rooms.
This house is far too small.|The house be far too small.
This house is uninhabitable.|The house be uninhabitable.
